b_impact_score,certified_since,description,location,name,rating1,rating2,rating3,rating4,rating5,rating6,rating7,sector,tagline,url,website
102.6,"February, 2020","Hitch is a leading UK social behaviour change marketing agency providing an integrated service to co-create brands, campaigns, services and products to improve society.","Liverpool City Region, Wirral, United Kingdom",Hitch Marketing Limited,Governance 14.3;Mission & Engagement 0.8;Ethics & Transparency 3.4;+ Mission Locked 10.0;,"Workers 30.3;Financial Security 9.2;Health, Wellness, & Safety 7.4;Career Development 6.1;Engagement & Satisfaction 6.0;N/A Points 1.4;","Community 32.6;Diversity, Equity, & Inclusion 6.1;Economic Impact 5.0;Civic Engagement & Giving 4.6;Supply Chain Management 0.7;+ Designed to Give 13.8;N/A Points 2.3;",Environment 5.3;Environmental Management 1.6;Air & Climate 1.2;Water 0.2;Land & Life 2.2;,Customers 20.0;Customer Stewardship 4.7;+ Support for Underserved/Purpose Driven Enterprises 9.8;+ Serving in Need Populations 5.4;,,,Service with Minor Environmental Footprint,"Behavioural insights, Strategy and planning, Creative, Digital innovation",https://bcorporation.net/directory/hitch-marketing-limited,http://www.hitchmarketing.co.uk
80.9,"February, 2020","They are the breakthrough transformation people, a management consultancy with a passion for change and transformation that delivers real results. They help clients all over the world identify what’s holding them back and create a movement for change within their business. The kind of change that re-energises an organisation and its people. The kind of change that gets results, fast. The kind of change that shapes the future for the better and drives success for years to come.","London, Greater London, United Kingdom",Egremont Group,Governance 8.9;Mission & Engagement 1.4;Ethics & Transparency 5.0;+ Mission Locked 2.5;,"Workers 41.3;Financial Security 12.4;Health, Wellness, & Safety 11.2;Career Development 6.9;Engagement & Satisfaction 7.6;N/A Points 3.0;","Community 17.9;Diversity, Equity, & Inclusion 4.5;Economic Impact 5.1;Civic Engagement & Giving 3.6;Supply Chain Management 4.6;",Environment 8.6;Environmental Management 3.5;Air & Climate 1.5;Water 0.5;Land & Life 3.0;,Customers 3.9;Customer Stewardship 3.9;,,,Service with Minor Environmental Footprint,Business Transformation,https://bcorporation.net/directory/egremont-group,http://www.egremontgroup.com
80.6,"January, 2020","Reserva is a Brazilian men's fashion brand that was born in 2006 to transform the way of dressing and be an example of how fashion can transform society, valuing human aspirations and capabilities based on 3 pillars: technology, functionality and sustainability. Currently, there are 83 stores in the main capitals of Brazil, in addition to a chain with more than 1,500 multi-brand stores across the country and almost 2,000 employees.
A Reserva é uma marca brasileira de moda masculina que nasceu em 2006 pra transformar a forma de se vestir e ser um exemplo de como a moda pode transformar a sociedade, valorizando aspirações e capacidades humanas com base em 3 pilares: tecnologia, funcionalidade e sustentabilidade. Atualmente, são 83 lojas nas principais capitais do Brasil, além de uma rede com mais de 1,5 mil multimarcas pelo país e quase 2 mil funcionários.","Rio de Janeiro, RJ, Brazil",Reserva,Governance 15.4;Mission & Engagement 2.1;Ethics & Transparency 3.2;+ Mission Locked 10.0;,"Workers 25.9;Financial Security 5.6;Health, Wellness, & Safety 7.9;Career Development 4.0;Engagement & Satisfaction 5.1;N/A Points 3.2;","Community 22.3;Diversity, Equity, & Inclusion 5.4;Economic Impact 6.9;Civic Engagement & Giving 4.1;Supply Chain Management 5.7;",Environment 14.0;Environmental Management 2.6;Air & Climate 3.3;Water 2.1;Land & Life 3.6;+ Resource Conservation 1.1;+ Toxin Reduction / Remediation 0.8;N/A Points 0.1;,Customers 2.9;Customer Stewardship 2.9;,,,Wholesale/Retail,"Male and female, adult and children's clothing",https://bcorporation.net/directory/reserva,http://www.usereserva.com
82.2,"January, 2020","Emprendec is a social company that works together with entrepreneurs in capacity building through education, entrepreneurship laboratories, consulting and they promote communities of change agents that contribute to the sustainable development of their territories.

Their services are: Educational programs in entrepreneurship, collaborative work spaces - coworking, advice on social innovation to companies, organizations and the public sector.
Emprendec es una empresa social que trabaja junto a emprendedores en el fortalecimiento de capacidades mediante educación, laboratorios de emprendimiento, asesoría e impulsamos comunidades de agentes de cambio que aportan al desarrollo sostenible de sus territorios.

Nuestros servicios son: Programas educativos en emprendimiento, espacios colaborativos de trabajo - coworking, asesoría en innovación social a empresas, organizaciones y sector público.","Loja, Loja, Ecuador",EMPRENDEC,Governance 6.1;Mission & Engagement 1.5;Ethics & Transparency 2.0;+ Mission Locked 2.5;,"Workers 19.1;Financial Security 6.6;Health, Wellness, & Safety 2.2;Career Development 2.9;Engagement & Satisfaction 2.3;N/A Points 5.1;","Community 11.4;Diversity, Equity, & Inclusion 0.8;Economic Impact 5.7;Civic Engagement & Giving 1.2;Supply Chain Management 1.6;N/A Points 1.9;",Environment 19.4;Environmental Management 1.7;Air & Climate 6.1;Water 2.0;Land & Life 5.9;N/A Points 3.5;,Customers 26.0;Customer Stewardship 3.1;+ Education 8.2;+ Support for Underserved/Purpose Driven Enterprises 9.1;+ Serving Underserved Populations (Direct) 5.4;,,,Service with Significant Environmental Footprint,Education and advisory services in entrepreneurship and social innovation.,https://bcorporation.net/directory/emprendec,http://www.emprendec.com
80.4,"January, 2020","The purpose of Impact Finance Management is to restore a more constructive and humanistic role of finance in society. They are at the forefront of the emerging trend of Impact Investing.

Based in Geneva (Switzerland) with offices  in Cali (Colombia), they initiated and advised an open-ended fund in Luxembourg. The fund provides debt to SMEs that consciously strive to deliver developmental outcomes to address social and environmental needs. Impact Finance Management invests in different value chains in food and agriculture, education, rural finance and renewable energies.

Since Autumn 2011, Impact Finance has invested more than $180 million in debt, in more than 80 companies. Impact Finance invests in 15 countries, mostly in Latin America and Western Europe. Already 50% of the loans have been repaid showing the high capacity of the enterprises they finance, while the Fund performance show positive returns since autumn 2012.Thanks to a highly performing internet based impact reporting tool named Kharmax Impact Reporting System, Impact Finance can monitor and enhance the impact of its companies.","Les Acacias, Suisse, Switzerland",Impact Finance Management S.A,Governance 17.8;Mission & Engagement 1.5;Corporate Accountability 1.8;Ethics 2.0;Transparency 5.0;+ Mission Locked 7.5;,Workers 20.0;Compensation & Wages 2.3;Benefits 9.6;Training & Education 1.6;Worker Ownership 2.2;Management & Worker Communication 1.2;Job Flexibility/Corporate Culture 1.8;N/A Points 1.1;,"Community 6.5;Job Creation 3.1;Diversity & Inclusion 1.5;Civic Engagement & Giving 0.0;Local Involvement 1.5;Suppliers, Distributors & Product 0.0;N/A Points 0.4;","Environment 3.5;Land, Office, Plant 2.0;Inputs 0.8;Outputs 0.7;",Customers 31.9;+ Mission Lock 0.6;+ Past Performance 5.4;+ Current Fund 9.0;+ Positive Impact 6.4;+ Portfolio Reporting 2.1;+ Capacity Building 1.1;+ Fund Governance 5.2;N/A Points 1.8;,,,Service with Minor Environmental Footprint,Investment Advisory,https://bcorporation.net/directory/impact-finance-management-sa,http://www.impact-finance.com
86.1,"January, 2020","LUP is a design studio that transforms plastic waste into design and decoration objects, through work with artisanal communities and small-scale recycling systems.
LUP es un estudio de diseño que transforma residuos plásticos en objetos de diseño y decoración, a través del trabajo con comunidades artesanales y sistemas de reciclaje a baja escala.","Santiago, Región Metropolitana, Chile",LUP,Governance 17.2;Mission & Engagement 4.5;Ethics & Transparency 2.6;+ Mission Locked 10.0;,"Community 50.1;Diversity, Equity, & Inclusion 13.6;Economic Impact 14.6;Civic Engagement & Giving 2.4;Supply Chain Management 9.2;+ Supply Chain Poverty Alleviation 10.1;",Environment 16.6;Environmental Management 2.7;Air & Climate 3.0;Water 0.1;Land & Life 2.8;+ Resource Conservation 6.5;N/A Points 1.2;,Customers 2.1;Customer Stewardship 2.1;,,,,Manufacturing,"Decoration objects, workshops, design projects, LUP fiber.",https://bcorporation.net/directory/lup,http://www.plasticlup.com
120.6,"January, 2020","Figure 8 Investment Strategies was founded in 2016 with a mission to deliver financial prosperity and intentional social impact to its clients, and to empower a new and diverse generation of investors.
As an independent fee-only Registered Investment Advisor, Figure 8 provides clients with investment management and comprehensive financial planning, delivered with a commitment to exceptional service and a personalized approach to prioritizing financial and social goals. 
Figure 8 integrates analysis of environmental, social and governance (ESG) factors across its investment disciplines, seeks opportunities for social impact in every asset class, and is an active shareholder on ESG issues.
Figure 8’s clients are individuals, families, non-profit organizations, and other institutions seeking a trusted relationship, comprehensive advice, shared values, and the opportunity to create change.","Boise, Idaho, United States",Figure 8 Investment Strategies LLC,Governance 7.6;Mission & Engagement 1.7;Ethics & Transparency 3.4;+ Mission Locked 2.5;,"Workers 29.8;Financial Security 8.9;Health, Wellness, & Safety 9.2;Career Development 4.8;Engagement & Satisfaction 3.6;N/A Points 3.1;","Community 21.1;Diversity, Equity, & Inclusion 7.0;Economic Impact 5.7;Civic Engagement & Giving 4.1;Supply Chain Management 1.2;N/A Points 3.0;",Environment 5.4;Environmental Management 1.4;Air & Climate 1.7;Water 0.0;Land & Life 1.5;N/A Points 0.8;,Customers 56.5;Customer Stewardship 2.3;+ Portfolio Reporting 4.7;+ Targeted for Investment 19.5;+ Leadership & Outreach 6.0;+ Investment Criteria 17.7;+ Portfolio Management 6.0;,,,Service with Minor Environmental Footprint,Investment Management and Financial Planning,https://bcorporation.net/directory/figure-8-investment-strategies-llc,http://figure8investing.com
80.0,"January, 2020","freuds is a full services communications & public relations company, founded in 1985. With offices in London and New York, their specialists advise a wide range of clients across numerous sectors – delivering campaigns, building brands, managing reputations & fostering trust. 
In their 35 year history, they have been driven by a commitment to social & environmental impact. Cause-based campaigns have always been a central component, pushing the boundaries of what communications can achieve to raise awareness & change behaviour. 
This commitment has continued to evolve as they focus on aligning all of their work with the Global Goals. The world is facing an increasingly tight timeline to move towards a sustainable agenda with pressing climate deadlines, global crises & worsening environmental conditions. As a company, freuds has set itself a target to play a leading role in changing the paradigm. They are increasingly aligning their clients & organisations of all types to rise to the challenge of meeting the Goals and to turning the 2020s into a ‘decade of delivery’ on the path to achieving them.

In 2020 & beyond, they will endeavour to continue their mission and work in partnership with clients & stakeholders to let the Global Goals for Sustainable Development lead & guide them.","London, London, United Kingdom",Freud Communications Limited,Governance 15.8;Mission & Engagement 1.1;Ethics & Transparency 4.6;+ Mission Locked 10.0;,"Workers 37.2;Financial Security 10.0;Health, Wellness, & Safety 12.0;Career Development 5.8;Engagement & Satisfaction 7.5;N/A Points 1.7;","Community 12.5;Diversity, Equity, & Inclusion 4.9;Economic Impact 3.5;Civic Engagement & Giving 2.4;Supply Chain Management 0.0;N/A Points 1.5;",Environment 10.2;Environmental Management 4.9;Air & Climate 1.5;Water 0.7;Land & Life 3.0;,Customers 4.2;Customer Stewardship 1.9;+ Support for Underserved/Purpose Driven Enterprises 2.3;+ Serving in Need Populations N/A;,,,Service with Minor Environmental Footprint,Communications and Public Relations,https://bcorporation.net/directory/freud-communications-limited,http://www.freuds.com
81.7,"January, 2020",Head Franchisee of The Body Shop products in Cyprus,"Limassol, Limassol, Cyprus",obon sai cosmetics ltd,Governance 10.7;Mission & Engagement 3.6;Ethics & Transparency 4.5;+ Mission Locked 2.5;,"Workers 21.0;Financial Security 3.8;Health, Wellness, & Safety 5.5;Career Development 2.8;Engagement & Satisfaction 4.3;N/A Points 4.4;","Community 30.0;Diversity, Equity, & Inclusion 4.3;Economic Impact 4.8;Civic Engagement & Giving 6.6;Supply Chain Management 4.4;+ Supply Chain Poverty Alleviation 5.9;+ Designed to Give N/A;+ Local Economic Development N/A;N/A Points 3.6;",Environment 15.3;Environmental Management 2.8;Air & Climate 2.7;Water 2.1;Land & Life 4.8;+ Land/wildlife Conservation 0.2;+ Toxin Reduction / Remediation 1.6;N/A Points 0.8;,Customers 4.5;Customer Stewardship 4.5;,,,Wholesale/Retail,Cosmetics and personal care,https://bcorporation.net/directory/obon-sai-cosmetics-ltd,http://www.thebodyshop.com.cy
96.6,"January, 2020","Financial Planning & Investment Management with a focus on Sustainable & Responsible Impact Investing (SRI) using Environmental, Social & Governance (ESG) criteria. Services include retirement planning, education savings, estate planning and philanthropy.","Colorado, Colorado, United States",Principled Investing LLC,Governance 5.8;Mission & Engagement 1.5;Ethics & Transparency 1.8;+ Mission Locked 2.5;,"Community 37.7;Diversity, Equity, & Inclusion 11.5;Economic Impact 18.6;Civic Engagement & Giving 3.0;N/A Points 4.4;",Environment 2.6;Air & Climate 0.0;Water 0.0;Land & Life 1.0;N/A Points 1.6;,Customers 50.3;Customer Stewardship 0.4;+ Portfolio Reporting N/A;+ Targeted for Investment 25.8;+ Leadership & Outreach 2.4;+ Investment Criteria 14.3;+ Portfolio Management 6.2;N/A Points 1.1;,,,,Service with Minor Environmental Footprint,SRI/ESG & Impact focused Financial Planning & Investment Management,https://bcorporation.net/directory/principled-investing-llc,http://www.principledinvesting.com
80.5,"January, 2020","Dupe is an open, friendly visual effects company with a penchant for doing the right thing. They carefully balance their incredible talent and professionalism with an approachable, can-do attitude. Practically that means they focus on excellent communication and high-quality output, working closely with clients to craft stunning visual effects for film and television. And they make sure their staff have a healthy work-life balance too. 
The results speak for themselves. Communicating well and treating their staff this way delivers the best visual effects possible.
These values have helped them become the world’s first visual effects company with B Corporation certification - a global group of businesses doing the right thing for people, society and the planet. 
Whether they're working on an indie short or a studio blockbuster – they bring all this to the table and give it everything they’ve got. Creating amazing work and getting the balance right.
Happy team, happy clients. Everybody wins.","London, London, United Kingdom",DUPE VFX,Governance 17.9;Mission & Engagement 2.9;Ethics & Transparency 5.0;+ Mission Locked 10.0;,"Workers 33.1;Financial Security 7.7;Health, Wellness, & Safety 10.5;Career Development 5.6;Engagement & Satisfaction 6.3;N/A Points 2.8;","Community 19.9;Diversity, Equity, & Inclusion 5.9;Economic Impact 8.5;Civic Engagement & Giving 2.4;Supply Chain Management 3.0;",Environment 8.7;Environmental Management 4.4;Air & Climate 1.1;Water 0.3;Land & Life 2.7;,Customers 0.7;Customer Stewardship 0.7;,,,Service with Minor Environmental Footprint,Visual Effects for Film & TV,https://bcorporation.net/directory/dupe-vfx,http://www.dupevfx.com
84.0,"January, 2020","Founded twenty years ago to promote 'future-proof' economic models such as the Civil and Communion Economy, Edic spa, since 2017 a benefit company, manages the Lionello Bonfanti business center, a center of convergence, physical, relational and value-oriented, for companies and subjects united by an economic action marked by fraternity and reciprocity. The company, as well as in the real estate sector, with laboratories and offices, is active with spaces and services for conferences and training. It hosts and promotes initiatives and projects aimed at socio-health prevention, and the implementation of an integral ecology, for a healthier, fairer, inclusive and sustainable society.","Figline e Incisa Valdarno, Firenze, Italy",E. di C. S.p.A. società benefit,Governance 16.6;Mission & Engagement 0.9;Corporate Accountability 2.2;Transparency 3.4;+ Mission Locked 10.0;,Workers 16.9;Compensation & Wages 1.9;Benefits 8.1;Training & Education 0.4;Worker Ownership 1.5;Management & Worker Communication 4.9;,"Community 19.6;Job Creation 1.0;Diversity & Inclusion 5.0;Civic Engagement & Giving 1.9;Local Involvement 6.0;Suppliers, Distributors & Product 4.8;N/A Points 0.6;","Environment 21.9;Land, Office, Plant 3.5;Inputs 6.3;Outputs 4.6;Transportation, Distribution & Suppliers 5.0;N/A Points 2.5;",Customers 8.7;+ Support for Underserved/Purpose Driven Enterprises 8.7;+ Serving in Need Populations N/A;,,,Service with Significant Environmental Footprint,"Rental of rooms, offices, etc. - Innovative social startups incubator.",https://bcorporation.net/directory/e-di-c-sp-a-societ-benefit,http://www.edicspa.it
82.3,"January, 2020","Grupo REMM is an exclusive distribution company for successful brands. They provide the highest quality products to Guatemala and the region with operational excellence, strategic marketing and personalized customer service.
Somos una compañía de distribución exclusiva para marcas exitosas. Proveemos productos de la más alta calidad a Guatemala y la región con excelencia operativa, mercadeo estratégico y servicio al cliente personalizado.","Guatemala, Guatemala, Guatemala",Grupo REMM,Governance 8.7;Mission & Engagement 2.1;Ethics & Transparency 4.0;+ Mission Locked 2.5;,"Workers 47.3;Financial Security 5.8;Health, Wellness, & Safety 6.1;Career Development 2.2;Engagement & Satisfaction 3.7;+ Workforce Development 25.2;N/A Points 4.2;","Community 15.0;Diversity, Equity, & Inclusion 2.0;Economic Impact 6.7;Civic Engagement & Giving 1.5;Supply Chain Management 4.7;",Environment 8.7;Environmental Management 2.5;Air & Climate 3.5;Water 0.4;Land & Life 1.4;N/A Points 0.7;,Customers 2.3;Customer Stewardship 2.3;,,,Wholesale/Retail,Exclusive distributors of food and personal care products.,https://bcorporation.net/directory/grupo-remm,http://www.gruporemm.com
83.8,"January, 2020","LUZ is the first content marketing agency in Italy with roots in photojournalism, founded on the legacy of the historical photo agency, Grazia Neri.

LUZ works with B2B and B2C companies and both Italian and international publishers to tell stories of positive social impact with the priority of protecting copyright.","Milano, Milano, Italy",LUZ S.r.l. Società Benefit,Governance 15.8;Mission & Engagement 2.2;Ethics & Transparency 3.5;+ Mission Locked 10.0;,"Workers 26.9;Financial Security 3.5;Health, Wellness, & Safety 4.8;Career Development 6.0;Engagement & Satisfaction 6.0;N/A Points 6.4;","Community 24.7;Diversity, Equity, & Inclusion 5.3;Economic Impact 8.5;Civic Engagement & Giving 6.3;Supply Chain Management 1.7;N/A Points 2.8;",Environment 7.0;Environmental Management 3.2;Air & Climate 0.8;Water 0.2;Land & Life 2.7;,Customers 9.2;Customer Stewardship 5.0;+ Education 3.4;+ Support for Underserved/Purpose Driven Enterprises 0.7;,,,Service with Minor Environmental Footprint,LUZ works with B2B and B2C companies and Italian and international publishers,https://bcorporation.net/directory/luz-srl-societ-benefit-,http://luz.it
87.1,"January, 2020","Panino Giusto is the Italian casual-dining company that revolutionized the Milanese lunch habit in the 80s, proposing the Panino as a high quality gastronomic concept. It was in Milan, on 1979, that Panino Giusto opened its first restaurant. The success was immediate and the company grew and spread the culture of the Italian Panino, a mix of local tradition, mastery, creativity, in Italy and around the world.
Their concern for quality and sustainability is the leitmotiv of our activities from the selection of raw materials to the preparation of their dishes. Thus their raw materials come from producers inspired by excellence and respect for the times of Nature. Family business enterprises focused on handing on their mastery and their awareness on the importance of preserving the environment and the ecosystem from generations to generations.  They prepare the Panino at the order with fresh ingredients, that allows them to ensure top quality while minimizing food waste.  
In 2019 Panino Giusto changed the vision in “to make the world more giusto through a panino”, giusto meaning honest, correct, sustainable. They want to be a solid and supportive enterprise that works not only for economic benefits but also for the common good. This is the way we do business, this is the vision.","Milano, Milano, Italy",Panino Giusto SpA Società Benefit,Governance 16.0;Mission & Engagement 1.6;Corporate Accountability 1.2;Ethics 1.1;Transparency 2.0;+ Mission Locked 10.0;,Workers 19.5;Compensation & Wages 2.5;Benefits 8.4;Training & Education 1.3;Worker Ownership 2.1;Management & Worker Communication 1.3;Job Flexibility/Corporate Culture 1.6;Occupational Health & Safety 1.2;N/A Points 0.7;,"Community 32.4;Job Creation 0.5;Diversity & Inclusion 6.0;Civic Engagement & Giving 4.9;Local Involvement 4.8;Suppliers, Distributors & Product 4.5;+ Workforce Development 11.5;","Environment 19.0;Land, Office, Plant 2.6;Inputs 5.3;Outputs 1.9;Transportation, Distribution & Suppliers 4.9;+ Toxin Reduction / Remediation 4.1;",,,,Wholesale/Retail,"Restaurants, Italian casual-dining company",https://bcorporation.net/directory/panino-giusto-sp-a,http://www.paninogiusto.it
82.4,"January, 2020","Groennfell Meadery brews historically-inspired craft meads from pure wildflower honey. Their drinks are meant for feasting - whether it’s High Summer, Midwinter, or every day. Grab a pint, grab some friends, and Join the Feast.","St Albans, Vermont, United States",Groennfell Meadery LLC,Governance 15.2;Mission & Engagement 1.7;Ethics & Transparency 3.4;+ Mission Locked 10.0;,"Workers 19.2;Financial Security 6.4;Health, Wellness, & Safety 0.6;Career Development 4.5;Engagement & Satisfaction 5.6;N/A Points 1.9;","Community 21.8;Diversity, Equity, & Inclusion 6.4;Economic Impact 4.3;Civic Engagement & Giving 4.4;Supply Chain Management 3.3;N/A Points 3.2;",Environment 23.0;Environmental Management 4.0;Air & Climate 6.4;Water 6.2;Land & Life 6.3;,Customers 3.0;Customer Stewardship 3.0;,,,Manufacturing,Craft Mead,https://bcorporation.net/directory/groennfell-meadery-llc,http://www.groennfell.com
81.4,"December, 2019","Tribe Alive empowers women around the world to find financial freedom through safe and meaningful employment at living wages. As a company, they measure success by impact, not profits.","Fort Worth, Texas, United States",Tribe Alive,Governance 6.8;Mission & Engagement 2.1;Ethics & Transparency 2.2;+ Mission Locked 2.5;,"Workers 17.2;Financial Security 9.0;Health, Wellness, & Safety 0.0;Career Development 3.5;Engagement & Satisfaction 3.9;N/A Points 0.7;","Community 41.2;Diversity, Equity, & Inclusion 7.3;Economic Impact 4.3;Civic Engagement & Giving 3.7;Supply Chain Management 5.1;+ Supply Chain Poverty Alleviation 17.0;N/A Points 3.6;",Environment 12.7;Environmental Management 3.5;Air & Climate 2.3;Water 0.0;Land & Life 5.8;+ Resource Conservation 0.1;N/A Points 0.8;,Customers 3.4;Customer Stewardship 3.4;,,,Wholesale/Retail,"Apparel, jewelry, handbags, wallets + handhelds, accessories, and gift + home.",https://bcorporation.net/directory/tribe-alive,http://tribealive.com
81.9,"January, 2020","Hotel Vilar América is a family hotel with a history of over 40 years, with 70 rooms and 5 rooms for events, located in the heart of the financial area of ​​Bogotá.
Hotel Vilar América es un hotel familiar con una trayectoria de más de 40 años, con 70 habitaciones y 5 salones para eventos, ubicado en el corazón de la zona financiera de Bogotá.","Bogotá, Bogotá D.C., Colombia",Hotel Vilar América,Governance 14.9;Mission & Engagement 2.2;Ethics & Transparency 2.6;+ Mission Locked 10.0;,"Workers 26.0;Financial Security 5.0;Health, Wellness, & Safety 6.6;Career Development 3.5;Engagement & Satisfaction 4.7;N/A Points 5.9;","Community 18.1;Diversity, Equity, & Inclusion 4.4;Economic Impact 2.3;Civic Engagement & Giving 3.4;Supply Chain Management 7.7;",Environment 17.8;Environmental Management 2.9;Air & Climate 5.5;Water 1.4;Land & Life 4.1;N/A Points 3.7;,Customers 4.8;Customer Stewardship 4.8;,,,Service with Significant Environmental Footprint,"Accommodation Services, Social and corporate events, Catering Service",https://bcorporation.net/directory/hotel-vilar-amrica,http://www.hotelvilaramerica.com
85.6,"December, 2019","Maganetti Spedizioni Spa is a transport and logistics company operating in the Italian industrial market.

Over the years, with professionalism and constancy, Maganetti has developed its business model, adapting to market conditions to better respond to customer needs and committing itself to follow the principles of financial, social and environmental sustainability.

Their operators and drivers are the added value of a company that has been able to grow and consolidate over time and forge ever deeper relationships with its social and environmental stakeholders.","Tirano, Sondrio, Italy",Maganetti Spedizioni spa,Governance 15.5;Mission & Engagement 1.6;Corporate Accountability 0.6;Ethics 1.5;Transparency 1.6;+ Mission Locked 10.0;,Workers 19.6;Compensation & Wages 1.9;Benefits 10.3;Training & Education 1.1;Worker Ownership 0.8;Management & Worker Communication 1.7;Job Flexibility/Corporate Culture 2.1;Occupational Health & Safety 0.7;N/A Points 0.7;,"Community 28.7;Job Creation 2.8;Diversity & Inclusion 4.2;Civic Engagement & Giving 4.1;Local Involvement 8.0;Suppliers, Distributors & Product 9.4;","Environment 21.6;Land, Office, Plant 4.4;Inputs 2.8;Outputs 2.1;Transportation, Distribution & Suppliers 4.8;+ Renewable or Cleaner-burning Energy 5.5;N/A Points 1.8;",,,,Service with Significant Environmental Footprint,Maganetti Spedizioni spa is a transport and logistics company.,https://bcorporation.net/directory/maganetti-spedizioni-spa,http://www.maganetti.com
80.5,"December, 2019","Solve is a leading SEO and web design agency based in Cornwall, UK that is proven to help businesses all over the world.
Solve maximise the potential of your business with a solid website foundation and website optimisation, to create online success and get your businesses seen online.
Solve's personal, dedicated and honest approach to web design, search engine optimisation and online business consultancy have provided hundreds of businesses with a solid online foundation which sees clients returning time and time again. 90% of their clients come from recommendation. 
Solve aims to help the planet and people, while being an example to others that you can be a successful business for good.","Wadebridge, Cornwall, United Kingdom",Solve,Governance 17.4;Mission & Engagement 4.5;Ethics & Transparency 2.9;+ Mission Locked 10.0;,"Workers 22.6;Financial Security 8.4;Health, Wellness, & Safety 4.0;Career Development 3.8;Engagement & Satisfaction 5.6;N/A Points 0.7;","Community 25.2;Diversity, Equity, & Inclusion 8.8;Economic Impact 8.5;Civic Engagement & Giving 5.1;Supply Chain Management 1.4;N/A Points 1.2;",Environment 10.1;Environmental Management 4.2;Air & Climate 2.1;Water 0.7;Land & Life 3.0;,Customers 5.0;Customer Stewardship 5.0;,,,Service with Minor Environmental Footprint,"Search Engine Optimisation (SEO), Web Design, Website Maintenance, Hosting",https://bcorporation.net/directory/solve,http://solve.co.uk
89.0,"December, 2019",The consultancy brands turn to when they want to change the world.,"London, London, United Kingdom",Revolt London,Governance 14.5;Mission & Engagement 2.2;Ethics & Transparency 2.3;+ Mission Locked 10.0;,"Workers 29.9;Financial Security 6.7;Health, Wellness, & Safety 7.8;Career Development 4.2;Engagement & Satisfaction 6.2;N/A Points 4.8;","Community 30.4;Diversity, Equity, & Inclusion 3.1;Economic Impact 6.5;Civic Engagement & Giving 5.6;+ Designed to Give 12.6;N/A Points 2.4;",Environment 11.0;Environmental Management 4.7;Air & Climate 3.9;Water 0.3;Land & Life 2.0;,Customers 2.9;Customer Stewardship 2.9;,,,Service with Minor Environmental Footprint,Purpose consultancy & activist agency,https://bcorporation.net/directory/revolt-london,http://revoltlondon.com
81.2,"December, 2019",Peak Design is a design company that creates high-grade camera gear and carry bags.,"SAN FRANCISCO, California, United States",PEAK DESIGN,Governance 15.5;Mission & Engagement 1.8;Ethics & Transparency 3.6;+ Mission Locked 10.0;,"Workers 24.4;Financial Security 11.1;Health, Wellness, & Safety 4.6;Career Development 2.7;Engagement & Satisfaction 5.9;","Community 18.7;Diversity, Equity, & Inclusion 3.4;Economic Impact 2.9;Civic Engagement & Giving 5.0;Supply Chain Management 3.8;+ Supply Chain Poverty Alleviation 0.7;N/A Points 2.7;",Environment 19.4;Environmental Management 2.9;Air & Climate 7.3;Water 1.0;Land & Life 5.4;+ Resource Conservation 2.6;,Customers 3.1;Customer Stewardship 3.1;,,,Wholesale/Retail,Camera gear and carry bags,https://bcorporation.net/directory/peak-design,http://www.peakdesign.com
85.3,"December, 2019","A Real Estate company with a view. Established in 1987 as a real estate atelier to provide personalized service to buyers and sellers of luxury properties, Tirelli & Partners is recognized as a top luxury real estate firm in Italy and a cutting edge real estate consultancy service provider.","Milano, Michigan, Italy",Tirelli & Partners srl Società Benefit,Governance 17.0;Mission & Engagement 1.9;Corporate Accountability 0.0;Ethics 1.0;Transparency 4.0;+ Mission Locked 10.0;,Workers 25.1;Compensation & Wages 6.6;Benefits 9.9;Training & Education 1.6;Worker Ownership 0.0;Management & Worker Communication 2.8;Job Flexibility/Corporate Culture 3.0;N/A Points 0.9;,"Community 34.0;Job Creation 3.1;Diversity & Inclusion 5.1;Civic Engagement & Giving 4.5;Local Involvement 5.5;Suppliers, Distributors & Product 1.5;+ Designed to Give 12.6;N/A Points 1.5;","Environment 9.0;Land, Office, Plant 5.7;Inputs 2.2;Outputs 1.0;+ Training & Collaboration N/A;+ Community N/A;+ Certification N/A;+ Material & Energy Use N/A;",,,,Service with Minor Environmental Footprint,Real estate brokers and consultants specialized in luxury properties,https://bcorporation.net/directory/tirelli-partners-srl,http://www.tirelliandpartners.com
